"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Ccdc34",8.90745473590075e-11,0.178913979099074,0.425,0.315,2.49390917695749e-06,"Ccdc34"
"Ncam2",9.12037312006998e-11,0.239248737056248,0.425,0.32,2.55352206615719e-06,"Ncam2"
"Mia3",9.15355062616831e-11,0.166934833933457,0.473,0.356,2.5628111043146e-06,"Mia3"
"Lurap1l",9.25644115443844e-11,0.124776292249719,0.19,0.11,2.59161839441968e-06,"Lurap1l"
"Uhrf1bp1l",9.26172657381924e-11,0.158089366097323,0.262,0.169,2.59309820613791e-06,"Uhrf1bp1l"
"Dstn",9.26737629768572e-11,0.22472876471567,0.781,0.703,2.59468001582605e-06,"Dstn"
"Tnr",9.28114732808627e-11,0.0743348849350243,0.315,0.203,2.59853562891759e-06,"Tnr"
"Ptn",9.34684767771306e-11,-0.439532627942562,0.641,0.697,2.6169304128061e-06,"Ptn"
"Sos2",9.7450847133929e-11,0.12620806621733,0.213,0.128,2.72842881805574e-06,"Sos2"
"Sh3gl3",9.82783353804732e-11,0.170317688039006,0.546,0.432,2.75159683398249e-06,"Sh3gl3"
"Pcna",9.86692889490601e-11,0.182321820743382,0.434,0.322,2.76254275199579e-06,"Pcna"
"Bckdha",1.00881714228107e-10,0.140689601306601,0.306,0.204,2.82448623495855e-06,"Bckdha"
"Ddt",1.01869961580897e-10,0.186877066846604,0.411,0.302,2.85215518434195e-06,"Ddt"
"Lims2",1.02431882782565e-10,-0.226840645665429,0.052,0.139,2.86788785414624e-06,"Lims2"
"Donson",1.02611888383945e-10,0.0966511634236994,0.143,0.075,2.87292765097371e-06,"Donson"
"Gpn3",1.02931459062999e-10,0.131417643085383,0.234,0.145,2.88187499084585e-06,"Gpn3"
"Prkag1",1.0507703055073e-10,0.190428651520615,0.362,0.26,2.94194670135934e-06,"Prkag1"
"Vkorc1l1",1.0518804036562e-10,0.130350758918174,0.257,0.163,2.94505475415662e-06,"Vkorc1l1"
"2010320M18Rik",1.05334396320492e-10,0.11185032439795,0.152,0.082,2.94915242818115e-06,"2010320M18Rik"
"Efcc1",1.07011214381506e-10,0.0975098314023376,0.114,0.056,2.99609998025341e-06,"Efcc1"
"Paics",1.07632478258797e-10,0.194960271715146,0.487,0.377,3.0134941262898e-06,"Paics"
"Traip",1.09291798067101e-10,0.103332185188741,0.151,0.081,3.05995176228269e-06,"Traip"
"Cntn6",1.09845616168406e-10,0.138326586374821,0.177,0.1,3.07545756148304e-06,"Cntn6"
"Slc20a1",1.10003218895477e-10,0.150731851030859,0.279,0.183,3.07987012263558e-06,"Slc20a1"
"Rfx5",1.10918574941398e-10,0.101955568482758,0.152,0.082,3.10549826120927e-06,"Rfx5"
